Phase,Topic,Content Type,Goal,Call to Action,Frequency
Awareness,The "Invisible Expert" Problem,Text/Story,Highlight the Authority Gap,Request Audit,Weekly
Awareness,Why 90% of Agency Sites Fail,Listicle,Education on Conversion Friction,Join Circle,Bi-Weekly
Awareness,Cinematic vs. Template Design,Image/Carousel,Showcase Visual Authority,View Portfolio,Weekly
Consideration,The 14-Day Sprint Breakdown,Video/BTS,Demystify the Speed of Delivery,Book Strategy Call,Monthly
Consideration,ROI of High-Performance WP,Case Study/Data,Prove Business Outcome,Try ROI Calculator,Bi-Weekly
Consideration,Client Success Story: [Niche],Testimonial/Video,Build Trust via Proof,Read Case Study,Monthly
Conversion,The Free Authority Audit Offer,Direct Offer,Lead Generation,Claim Free Audit,Weekly
Conversion,Project Planner Walkthrough,Screen Share,Reduce Barrier to Inquiry,Start Planner,Monthly
Retention,Titan Care: Security & Speed,Informational,Upsell Maintenance,Upgrade Plan,Quarterly
Retention,Quarterly Growth Review,Report/Video,Maintain Long-term Authority,Book Sync,Quarterly
