Month,New Sprints (Avg $5.5k),Recurring: Titan Care ($199),Recurring: Growth Partner ($997),Upsells (SEO/Copy),Total Revenue,Labor COGS (35%),Tool COGS (5%),Gross Profit,Ad Spend (15%),Admin/Tax (10%),Misc OpEx,Net Profit,Net Margin %
Month 1,1,0,0,1500,7000,2450,350,4200,1050,700,500,1950,27.9%
Month 2,2,1,0,2000,13199,4620,660,7919,1980,1320,500,4119,31.2%
Month 3,2,3,1,3000,15594,5458,780,9356,2339,1559,600,4858,31.2%
Month 4,3,5,2,4000,23091,8082,1155,13854,3464,2309,700,7381,32.0%
Month 5,3,8,3,5000,25586,8955,1279,15352,3838,2559,800,8155,31.9%
Month 6,4,11,4,6000,34177,11962,1709,20506,5127,3418,900,11061,32.4%
Month 7,4,15,5,7000,37970,13290,1899,22781,5696,3797,1000,12288,32.4%
Month 8,5,19,6,8000,48463,16962,2423,29078,7269,4846,1100,15863,32.7%
Month 9,5,24,8,9000,53752,18813,2688,32251,8063,5375,1200,17613,32.8%
Month 10,6,29,10,10000,68760,24066,3438,41256,10314,6876,1300,22766,33.1%
Month 11,6,35,12,11000,74931,26226,3747,44958,11240,7493,1400,24825,33.1%
Month 12,7,42,15,12000,91271,31945,4564,54762,13691,9127,1500,30444,33.4%
TOTAL,48,192,66,88500,493834,172842,24692,296300,74075,49383,11500,161342,32.7%
